name,year_month,sentiment_emb,year,month
Andre Machado,2017-1,100.0,2017,1
Cleveland Clinic,2017-1,100.0,2017,1
Cleveland Clinic Neurological Institute,2017-1,100.0,2017,1
DBS,2017-1,0.0,2017,1
Judy Slater,2017-1,100.0,2017,1
Messenger,2017-1,-100.0,2017,1
Visa,2017-1,-100.0,2017,1
van Horne,2017-1,100.0,2017,1
DBS,2017-2,100.0,2017,2
Scientists,2017-2,100.0,2017,2
Chief Investment Officer,2017-3,100.0,2017,3
DBS,2017-3,20.0,2017,3
OCBC,2017-3,-100.0,2017,3
PD,2017-3,100.0,2017,3
Piyush Gupta,2017-3,-100.0,2017,3
SMEs,2017-3,100.0,2017,3
Xero,2017-3,100.0,2017,3
Ang Chiew Leng,2017-4,100.0,2017,4
CNBC,2017-4,100.0,2017,4
DBS,2017-4,-14.285714285714285,2017,4
Lim Say Boon,2017-4,100.0,2017,4
POSB,2017-4,-100.0,2017,4
Piyush Gupta,2017-4,-100.0,2017,4
Private Bank,2017-4,100.0,2017,4
Security experts,2017-4,100.0,2017,4
The Bank Branch,2017-4,-100.0,2017,4
VTMs,2017-4,-100.0,2017,4
DBS,2017-5,100.0,2017,5
Digital Bank of the Year,2017-5,100.0,2017,5
Euromoney,2017-5,100.0,2017,5
Neal,2017-5,100.0,2017,5
Researchers,2017-5,100.0,2017,5
Ultra,2017-5,100.0,2017,5
BSX,2017-6,100.0,2017,6
Boston Scientific,2017-6,100.0,2017,6
CE Mark,2017-6,100.0,2017,6
Chee,2017-6,100.0,2017,6
DBS,2017-6,100.0,2017,6
Health Canada,2017-6,100.0,2017,6
Laurence Smith,2017-6,100.0,2017,6
Medtronic,2017-6,100.0,2017,6
Medtronic SureTune3 Obtains Health Canada,2017-6,100.0,2017,6
Most Valuable Brand,2017-6,100.0,2017,6
Neal Cross,2017-6,100.0,2017,6
Researchers,2017-6,100.0,2017,6
Teen,2017-6,100.0,2017,6
The Promontory @ Marina Bay,2017-6,100.0,2017,6
Top 100 Singapore Brands,2017-6,100.0,2017,6
DBS,2017-7,100.0,2017,7
Hou Wey Fook,2017-7,100.0,2017,7
Judy Slater,2017-8,100.0,2017,8
Woman,2017-8,100.0,2017,8
DBS,2017-9,66.66666666666666,2017,9
Investigators,2017-9,100.0,2017,9
OCBC,2017-9,100.0,2017,9
UOB,2017-9,100.0,2017,9
DBS,2017-10,0.0,2017,10
MCA,2017-10,-100.0,2017,10
Citibank,2017-11,100.0,2017,11
DBS,2017-11,60.0,2017,11
HSBC,2017-11,100.0,2017,11
Maybank,2017-11,100.0,2017,11
OCBC,2017-11,100.0,2017,11
PayNow,2017-11,100.0,2017,11
Standard Chartered Bank,2017-11,100.0,2017,11
UOB,2017-11,100.0,2017,11
Boston Scientific,2017-12,100.0,2017,12
Boston Scientific Corporation BSX,2017-12,100.0,2017,12
Brain Surgery Save A Father And Son,2017-12,100.0,2017,12
DBS,2017-12,0.0,2017,12
Dr,2017-12,100.0,2017,12
Edward Hines,2017-12,100.0,2017,12
FDA,2017-12,100.0,2017,12
Halpern,2017-12,100.0,2017,12
PD,2017-12,100.0,2017,12
Parkinson,2017-12,100.0,2017,12
Researchers,2017-12,100.0,2017,12
SIA,2017-12,-100.0,2017,12
Singapore Airlines,2017-12,-100.0,2017,12
U.S. Food and Drug Administration,2017-12,100.0,2017,12
Bloomberg,2018-1,-100.0,2018,1
City Developments Limited,2018-1,-100.0,2018,1
DBS,2018-1,0.0,2018,1
HealthDay News,2018-1,100.0,2018,1
Hou,2018-1,-100.0,2018,1
Hou Wey Fook,2018-1,-100.0,2018,1
Patients,2018-1,100.0,2018,1
Tan Su Shan,2018-1,100.0,2018,1
DBS,2018-2,100.0,2018,2
HealthDay News,2018-2,100.0,2018,2
Nets,2018-2,100.0,2018,2
OCBC,2018-2,100.0,2018,2
UOB,2018-2,100.0,2018,2
Bloomberg,2018-3,-100.0,2018,3
Champions,2018-3,-100.0,2018,3
City Developments Limited,2018-3,-100.0,2018,3
DBS,2018-3,33.33333333333333,2018,3
PD,2018-3,100.0,2018,3
DBS,2018-4,100.0,2018,4
Fornix,2018-4,100.0,2018,4
Mr.,2018-4,100.0,2018,4
Mr. X,2018-4,100.0,2018,4
Neal Cross,2018-4,100.0,2018,4
Carousell,2018-5,100.0,2018,5
DBS,2018-5,60.0,2018,5
Wet,2018-5,100.0,2018,5
