name,year_month,sentiment_emb,year,month
IPS-LINTEC Group Pte. Ltd,2017-1,100.0,2017,1
Linnhoff Holdings Pte Ltd -- IPS Group,2017-1,100.0,2017,1
Linnhoff Holdings Pte. Ltd.,2017-1,100.0,2017,1
Champion Precision Manufacturing Pte Ltd,2017-2,100.0,2017,2
Ascenz,2017-5,-100.0,2017,5
Chee Teck Lee,2017-5,-100.0,2017,5
Gary Ong,2017-5,-100.0,2017,5
Moveon Technologies,2017-5,-100.0,2017,5
Oliver Tan,2017-5,-100.0,2017,5
ViSenze,2017-5,-100.0,2017,5
Akribis Systems,2017-8,100.0,2017,8
K-One,2017-8,100.0,2017,8
Motion control specialist,2017-8,100.0,2017,8
Chee Teck Lee,2017-9,100.0,2017,9
Moveon Technologies,2017-9,100.0,2017,9
FCVA,2017-10,100.0,2017,10
NANOFILM Technologies International,2017-10,100.0,2017,10
Nanofilm,2017-10,100.0,2017,10
Nanofilm Tech,2017-10,100.0,2017,10
Nanofilm Technologies International,2017-10,100.0,2017,10
Shi Xu,2017-10,100.0,2017,10
Psychologists,2018-2,100.0,2018,2
University of Toronto,2018-2,100.0,2018,2
Candidates,2018-5,100.0,2018,5
Disk Precision Industries Pte Ltd,2018-5,100.0,2018,5
Employers,2018-5,100.0,2018,5
