name,year_month,sentiment_emb,year,month
Albirex,2017-1,100.0,2017,1
CROWD,2017-1,100.0,2017,1
Credit Suisse,2017-1,100.0,2017,1
Great Eastern,2017-1,100.0,2017,1
Hougang United,2017-1,100.0,2017,1
Lim Chin,2017-1,100.0,2017,1
Naruo,2017-1,100.0,2017,1
Nintendo/Creatures Inc,2017-1,100.0,2017,1
OCBC,2017-1,100.0,2017,1
Participants,2017-1,100.0,2017,1
Philippe Aw,2017-1,100.0,2017,1
RHB,2017-1,100.0,2017,1
S.League,2017-1,100.0,2017,1
UEL,2017-1,100.0,2017,1
United Engineers,2017-1,100.0,2017,1
WBL,2017-1,100.0,2017,1
WBL Corporation,2017-1,100.0,2017,1
Yoshinaga,2017-1,100.0,2017,1
AIA,2017-2,100.0,2017,2
AXA,2017-2,100.0,2017,2
Albirex,2017-2,100.0,2017,2
Albirex Niigata,2017-2,100.0,2017,2
Aviva,2017-2,100.0,2017,2
Credit Suisse,2017-2,100.0,2017,2
Football Association of Singapore,2017-2,100.0,2017,2
GAVIN FOO,2017-2,100.0,2017,2
Great Eastern,2017-2,100.0,2017,2
Hyundai,2017-2,100.0,2017,2
Madhu Mohana,2017-2,100.0,2017,2
NTUC Income,2017-2,100.0,2017,2
Naoki Naruo,2017-2,100.0,2017,2
OCBC,2017-2,100.0,2017,2
Prudential,2017-2,100.0,2017,2
RHB,2017-2,100.0,2017,2
Referee Sukhbir Singh,2017-2,100.0,2017,2
S.League,2017-2,100.0,2017,2
Sparks,2017-2,100.0,2017,2
TNP,2017-2,100.0,2017,2
Tampines Rovers,2017-2,100.0,2017,2
UEL,2017-2,100.0,2017,2
American Express,2017-3,100.0,2017,3
American Express International,2017-3,100.0,2017,3
Great Eastern,2017-3,100.0,2017,3
IPs,2017-3,100.0,2017,3
Isabella,2017-3,100.0,2017,3
Isabella Loh,2017-3,100.0,2017,3
NTUC Income,2017-3,100.0,2017,3
SEC,2017-3,100.0,2017,3
Singapore Environment Council,2017-3,100.0,2017,3
