name,year_month,sentiment_emb,year,month
Fullerton Healthcare,2017-2,100.0,2017,2
HR Vendors,2017-2,100.0,2017,2
Malaysia Universe,2017-2,-100.0,2017,2
Q&M Dental Group,2017-2,-100.0,2017,2
Fonda,2017-3,100.0,2017,3
Fondaco Dental Group,2017-3,100.0,2017,3
Fondaco Pte Ltd,2017-3,100.0,2017,3
IDEM Singapore,2017-3,100.0,2017,3
Alliance Medical,2017-5,100.0,2017,5
Merck,2017-6,100.0,2017,6
QuantumLeap Healthcare Collaborative,2017-6,100.0,2017,6
Best Corporate Healthcare Provider,2017-9,100.0,2017,9
HR Vendors of the Year Awards,2017-9,100.0,2017,9
HR Vendors of the Year Awards,2017-10,100.0,2017,10
Co-Founder,2017-11,100.0,2017,11
David Chiem,2017-11,100.0,2017,11
Eu Yan Sang International,2017-11,100.0,2017,11
Founder,2017-11,100.0,2017,11
Fullerton Healthcare,2017-11,100.0,2017,11
HR Vendors of The Year,2017-11,100.0,2017,11
Michael Tan,2017-11,100.0,2017,11
Richard Eu,2017-11,100.0,2017,11
Fullerton Healthcare,2017-12,-100.0,2017,12
Intellicare Group,2017-12,-100.0,2017,12
Alliance Medical Group for R14bn,2018-2,-100.0,2018,2
ALI,2018-3,100.0,2018,3
Akeso,2018-3,100.0,2018,3
Akeso Clinics,2018-3,100.0,2018,3
Competition Commission,2018-3,100.0,2018,3
Fullerton,2018-3,100.0,2018,3
Fullerton Healthcare,2018-3,100.0,2018,3
HR Vendors,2018-3,100.0,2018,3
Netcare,2018-3,100.0,2018,3
PCC,2018-3,100.0,2018,3
The Competition Tribunal,2018-3,100.0,2018,3
FHPC,2018-4,100.0,2018,4
Fullerton Healthcare,2018-4,100.0,2018,4
Intellicare,2018-4,100.0,2018,4
Qiwi plc,2018-4,100.0,2018,4
Spotify Technology SA,2018-4,100.0,2018,4
Wells Fargo,2018-4,100.0,2018,4
"BC Technical, Alliance Medical Group",2018-5,100.0,2018,5
GE Healthcare,2018-5,100.0,2018,5
INDIA,2018-5,100.0,2018,5
Medical Equipment Maintenance,2018-5,100.0,2018,5
Medical Equipment Maintenance Market,2018-5,100.0,2018,5
Pantheon Group,2018-5,100.0,2018,5
Players,2018-5,100.0,2018,5
Spotify Technology SA,2018-5,100.0,2018,5
Wells Fargo,2018-5,100.0,2018,5
