name,year_month,sentiment_emb,year,month
Jennifer Chen,2017-2,100.0,2017,2
Summer View Hotel Pte Ltd,2017-2,100.0,2017,2
Wolfgang,2017-6,100.0,2017,6
Y Ventures Group,2017-6,100.0,2017,6
KBS-Keppel,2017-9,100.0,2017,9
Sam,2017-9,100.0,2017,9
M Social Singapore,2017-11,100.0,2017,11
Sam Chee Wah: Feinmetall Singapore,2017-11,100.0,2017,11
Timothy Oulton Studio,2017-12,100.0,2017,12
Alvin Leung,2018-3,100.0,2018,3
Bo Innovation,2018-3,100.0,2018,3
Demon Chef,2018-3,100.0,2018,3
Ishi,2018-3,100.0,2018,3
Toro,2018-3,100.0,2018,3
Great Eastern,2018-5,100.0,2018,5
Investors,2018-5,100.0,2018,5
Peter Lim,2018-5,100.0,2018,5
Walden International,2018-5,100.0,2018,5
