name,year_month,sentiment_emb,year,month
Aviva,2017-1,100.0,2017,1
Great Eastern,2017-1,100.0,2017,1
Lee Hsien Loong,2017-1,100.0,2017,1
NTUC Income,2017-1,100.0,2017,1
OCBC,2017-1,100.0,2017,1
AIA,2017-2,100.0,2017,2
AXA,2017-2,100.0,2017,2
Best Employee Insurance Provider,2017-2,100.0,2017,2
Credit Suisse,2017-2,100.0,2017,2
Great Eastern,2017-2,100.0,2017,2
HR Vendors,2017-2,100.0,2017,2
Human Resources,2017-2,100.0,2017,2
Lee,2017-2,100.0,2017,2
OCBC,2017-2,100.0,2017,2
UEL,2017-2,100.0,2017,2
Zurich Insurance,2017-2,100.0,2017,2
AXA,2017-3,100.0,2017,3
American Express,2017-3,100.0,2017,3
American Express International,2017-3,100.0,2017,3
Andre Czanik,2017-3,100.0,2017,3
Great Eastern,2017-3,100.0,2017,3
IPs,2017-3,100.0,2017,3
Isabella,2017-3,100.0,2017,3
Isabella Loh,2017-3,100.0,2017,3
NTUC Income,2017-3,100.0,2017,3
SEC,2017-3,100.0,2017,3
Singapore Environment Council,2017-3,100.0,2017,3
Teo,2017-3,100.0,2017,3
AIA,2017-5,100.0,2017,5
Great Eastern,2017-5,100.0,2017,5
Life Insurance Association,2017-5,100.0,2017,5
OAC,2017-5,100.0,2017,5
OCBC,2017-5,100.0,2017,5
Patrick Teow,2017-5,100.0,2017,5
DPS,2017-6,100.0,2017,6
Great Eastern,2017-6,0.0,2017,6
Lee,2017-6,-100.0,2017,6
NTUC Income,2017-6,100.0,2017,6
OCBC,2017-6,-100.0,2017,6
UE,2017-6,-100.0,2017,6
WBL,2017-6,-100.0,2017,6
AIA,2017-7,100.0,2017,7
Adecco,2017-7,100.0,2017,7
Aon,2017-7,100.0,2017,7
Asia Corporate Training,2017-7,100.0,2017,7
Aviva,2017-7,100.0,2017,7
Bell Ward,2017-7,100.0,2017,7
Chandler MacLeod,2017-7,100.0,2017,7
Crown World Mobility,2017-7,100.0,2017,7
Cubiks,2017-7,100.0,2017,7
DDI,2017-7,100.0,2017,7
Deloitte,2017-7,100.0,2017,7
EY,2017-7,100.0,2017,7
EgonZehnder,2017-7,100.0,2017,7
ElderShield Review Committee,2017-7,100.0,2017,7
Far East Hospitality,2017-7,100.0,2017,7
GEG,2017-7,100.0,2017,7
Government,2017-7,100.0,2017,7
Great Eastern,2017-7,100.0,2017,7
HR Vendors of the Year Awards,2017-7,100.0,2017,7
HR solutions providers,2017-7,100.0,2017,7
Lee,2017-7,100.0,2017,7
NTUC Income,2017-7,100.0,2017,7
OCBC,2017-7,100.0,2017,7
Overseas Assurance Corporation,2017-7,100.0,2017,7
Singaporeans,2017-7,100.0,2017,7
UE,2017-7,100.0,2017,7
WBL,2017-7,100.0,2017,7
AIA,2017-8,100.0,2017,8
AIG,2017-8,100.0,2017,8
AXA,2017-8,0.0,2017,8
Aon,2017-8,100.0,2017,8
Aviva,2017-8,100.0,2017,8
Bell Ward,2017-8,100.0,2017,8
Best Retirement & Pension Plan Provider,2017-8,100.0,2017,8
Chandler MacLeod,2017-8,100.0,2017,8
DDI,2017-8,100.0,2017,8
Deloitte,2017-8,100.0,2017,8
EY,2017-8,100.0,2017,8
EgonZehnder,2017-8,100.0,2017,8
Employee Insurance Provider,2017-8,100.0,2017,8
HR Vendors of the Year Awards,2017-8,100.0,2017,8
High Court,2017-8,-100.0,2017,8
Man,2017-8,-100.0,2017,8
NTUC Income,2017-8,100.0,2017,8
PolicyPal,2017-8,100.0,2017,8
Prudential,2017-8,-100.0,2017,8
Ramesh,2017-8,-100.0,2017,8
Ramesh Krishnan,2017-8,-100.0,2017,8
AIA,2017-9,33.33333333333333,2017,9
AXA,2017-9,-100.0,2017,9
Advisors Alliance Group,2017-9,-100.0,2017,9
Aviva,2017-9,0.0,2017,9
GREAT Eastern,2017-9,100.0,2017,9
Great Eastern,2017-9,33.33333333333333,2017,9
IP insurers,2017-9,-100.0,2017,9
IPs,2017-9,-100.0,2017,9
Life Insurance Association Singapore,2017-9,100.0,2017,9
OCBC,2017-9,100.0,2017,9
Peter Tan,2017-9,100.0,2017,9
Peter Tan Organisation,2017-9,100.0,2017,9
Prudential,2017-9,0.0,2017,9
The Straits Times,2017-9,100.0,2017,9
Wall Street Journal,2017-9,100.0,2017,9
Great Eastern,2017-10,100.0,2017,10
OCBC,2017-10,100.0,2017,10
Pico,2017-11,100.0,2017,11
Pico Pro,2017-11,100.0,2017,11
Prudential,2017-11,100.0,2017,11
Aviva,2017-12,100.0,2017,12
Fernand Lendoye,2017-12,100.0,2017,12
Health-tech firm,2017-12,100.0,2017,12
Lim Kwong Fei,2017-12,-100.0,2017,12
Mercedes Benz,2017-12,-100.0,2017,12
Mercedes-Benz,2017-12,-100.0,2017,12
NSI Ventures,2017-12,100.0,2017,12
Pico Group,2017-12,100.0,2017,12
Pico Pro,2017-12,100.0,2017,12
Prudential,2017-12,100.0,2017,12
Allianz,2018-1,100.0,2018,1
Aviva,2018-1,100.0,2018,1
Citi,2018-1,100.0,2018,1
DBS,2018-1,100.0,2018,1
EMEA,2018-1,100.0,2018,1
GEH,2018-1,100.0,2018,1
Great Eastern,2018-1,100.0,2018,1
Keller,2018-1,100.0,2018,1
NTUC Income,2018-1,100.0,2018,1
