name,year_month,sentiment_emb,year,month
Credit Suisse,2017-1,100.0,2017,1
Great Eastern,2017-1,100.0,2017,1
OCBC,2017-1,100.0,2017,1
WBL Corporation,2017-1,100.0,2017,1
Asean,2017-2,100.0,2017,2
Brand Finance,2017-2,100.0,2017,2
DBS,2017-2,100.0,2017,2
Global Brand Valuation,2017-2,100.0,2017,2
MAS,2017-2,100.0,2017,2
OCBC,2017-2,100.0,2017,2
UOB,2017-2,100.0,2017,2
NAB,2017-5,100.0,2017,5
Nets,2017-5,100.0,2017,5
OCBC,2017-5,100.0,2017,5
ANZ,2017-6,100.0,2017,6
Banking giants,2017-6,100.0,2017,6
Barclays,2017-6,100.0,2017,6
Brand Finance,2017-6,100.0,2017,6
DBS,2017-6,100.0,2017,6
Great Eastern,2017-6,100.0,2017,6
National Australia Bank,2017-6,100.0,2017,6
OCBC,2017-6,100.0,2017,6
UE,2017-6,100.0,2017,6
UOB,2017-6,100.0,2017,6
WBL,2017-6,100.0,2017,6
WBL Corp,2017-6,100.0,2017,6
WBL Corporation,2017-6,100.0,2017,6
BIDDER,2017-7,100.0,2017,7
Credit Suisse,2017-7,100.0,2017,7
DBS,2017-7,100.0,2017,7
Nets,2017-7,100.0,2017,7
OCBC,2017-7,100.0,2017,7
Singapore Exchange,2017-7,100.0,2017,7
UE,2017-7,100.0,2017,7
UEL,2017-7,100.0,2017,7
UOB,2017-7,100.0,2017,7
WBL Corp Ltd,2017-7,100.0,2017,7
Yanlord Land Group,2017-7,100.0,2017,7
Bank of Ningbo,2017-8,100.0,2017,8
Consumers,2017-8,100.0,2017,8
DBS,2017-8,100.0,2017,8
NRIC,2017-8,100.0,2017,8
Nam Cheong,2017-8,-100.0,2017,8
OCBC,2017-8,0.0,2017,8
PayNow,2017-8,100.0,2017,8
Straits Times,2017-8,100.0,2017,8
Victor Lo,2017-8,-100.0,2017,8
Aaron Loh Cheng Lee,2017-9,100.0,2017,9
BBPL,2017-9,100.0,2017,9
Big Box Pte Ltd,2017-9,100.0,2017,9
DBS,2017-9,100.0,2017,9
Ee Meng Yen Angela,2017-9,100.0,2017,9
Ernst & Young Solutions LLP,2017-9,100.0,2017,9
Global Finance,2017-9,100.0,2017,9
OCBC,2017-9,100.0,2017,9
TT International,2017-9,100.0,2017,9
UOB,2017-9,100.0,2017,9
Apple,2017-10,100.0,2017,10
OCBC,2017-10,100.0,2017,10
Siri,2017-10,100.0,2017,10
Citibank,2017-11,-100.0,2017,11
DBS,2017-11,100.0,2017,11
Komaresan Subramanian,2017-11,100.0,2017,11
Moody,2017-11,100.0,2017,11
OCBC,2017-11,50.0,2017,11
UOB,2017-11,0.0,2017,11
Ang Mo Kio Hub Premier,2017-12,-100.0,2017,12
Bank of Singapore,2017-12,100.0,2017,12
Chng Kunda,2017-12,-100.0,2017,12
Foo Sze Ming,2017-12,-100.0,2017,12
Great Eastern,2017-12,100.0,2017,12
Indians,2017-12,100.0,2017,12
OCBC,2017-12,-33.33333333333333,2017,12
Smartkarma,2017-12,-100.0,2017,12
UE,2017-12,-33.33333333333333,2017,12
UEL,2017-12,-100.0,2017,12
WBL,2017-12,-33.33333333333333,2017,12
YPI,2017-12,0.0,2017,12
Yanlord,2017-12,-100.0,2017,12
Yanlord Land,2017-12,100.0,2017,12
Yanlord Perennial,2017-12,-100.0,2017,12
Aung Khine Phyo,2018-1,100.0,2018,1
Mobike,2018-1,100.0,2018,1
OCBC,2018-1,100.0,2018,1
Funders,2018-2,-100.0,2018,2
OCBC,2018-2,-100.0,2018,2
UOB,2018-2,-100.0,2018,2
AI Lab@TOV,2018-3,100.0,2018,3
GEH,2018-3,100.0,2018,3
GELM,2018-3,100.0,2018,3
Man,2018-3,-100.0,2018,3
OCBC,2018-3,66.66666666666666,2018,3
UOB,2018-3,100.0,2018,3
