name,year_month,sentiment_emb,year,month
BCA,2017-1,-100.0,2017,1
Bukit Panjang LRT,2017-1,100.0,2017,1
East-West MRT,2017-1,-100.0,2017,1
Hamid,2017-1,100.0,2017,1
Lum Chong Chuen,2017-1,-100.0,2017,1
Madam Maria Elena,2017-1,100.0,2017,1
Mohamad Nazaruddin,2017-1,100.0,2017,1
North-South,2017-1,0.0,2017,1
Patrick Nathan,2017-1,-100.0,2017,1
Rosario Ortiz,2017-1,100.0,2017,1
SMRT,2017-1,-33.33333333333333,2017,1
Surprise passenger,2017-1,100.0,2017,1
Wong Lai Cheng,2017-1,-100.0,2017,1
Baby,2017-2,100.0,2017,2
MOM,2017-2,-100.0,2017,2
Ma.,2017-2,100.0,2017,2
Mohamad Nazaruddin,2017-2,100.0,2017,2
Patrick Nathan,2017-2,-100.0,2017,2
Rosario Ortiz,2017-2,100.0,2017,2
SMRT,2017-2,-60.0,2017,2
The Straits Times,2017-2,-100.0,2017,2
MOM,2017-3,-100.0,2017,3
Ministry of Manpower,2017-3,-100.0,2017,3
SMRT,2017-3,0.0,2017,3
Bedok MRT,2017-4,-100.0,2017,4
C'mon guys,2017-4,-100.0,2017,4
Commuters,2017-4,-100.0,2017,4
EWL,2017-4,-100.0,2017,4
NSL,2017-4,-100.0,2017,4
SBS Transit,2017-4,-100.0,2017,4
SMRT,2017-4,-100.0,2017,4
Singapore Mass rapid Transit,2017-4,-100.0,2017,4
The Straits Times,2017-4,-100.0,2017,4
Uma Venkatraman,2017-4,-100.0,2017,4
Commuters,2017-5,-100.0,2017,5
Koh Yong Guan,2017-5,100.0,2017,5
NSL,2017-5,-100.0,2017,5
SMRT,2017-5,-33.33333333333333,2017,5
Clementi,2017-6,-100.0,2017,6
Commuters,2017-6,-100.0,2017,6
LTA,2017-6,-100.0,2017,6
Land Transport Authority,2017-6,-100.0,2017,6
North-South,2017-6,-100.0,2017,6
Patrick Nathan,2017-6,-100.0,2017,6
SMRT,2017-6,-100.0,2017,6
Bugis MRT,2017-7,-100.0,2017,7
Clementi,2017-7,-100.0,2017,7
Commuters,2017-7,-100.0,2017,7
EWL,2017-7,-100.0,2017,7
LTA,2017-7,-100.0,2017,7
Land Transport Authority,2017-7,-100.0,2017,7
NSEWL,2017-7,-100.0,2017,7
SLE,2017-7,-100.0,2017,7
SMRT,2017-7,-100.0,2017,7
BPITH,2017-8,100.0,2017,8
Bukit Panjang LRT,2017-8,0.0,2017,8
Commuters,2017-8,50.0,2017,8
Downtown MRT,2017-8,100.0,2017,8
Jurong East MRT,2017-8,-100.0,2017,8
Patrick Nathan,2017-8,-100.0,2017,8
SMRT,2017-8,20.0,2017,8
WeCare,2017-8,100.0,2017,8
WeCare Shop,2017-8,100.0,2017,8
Bukit Panjang LRT,2017-9,100.0,2017,9
Commuters,2017-9,-100.0,2017,9
EWL,2017-9,-100.0,2017,9
PSLE,2017-9,-100.0,2017,9
SEAB,2017-9,-100.0,2017,9
SMRT,2017-9,-33.33333333333333,2017,9
Staff,2017-9,100.0,2017,9
Tanah Merah,2017-9,-100.0,2017,9
Grab drivers,2017-10,100.0,2017,10
Khaw,2017-10,-100.0,2017,10
Khaw Boon Wan,2017-10,-100.0,2017,10
NSL,2017-10,-100.0,2017,10
SINGAPORE - Rail,2017-10,-100.0,2017,10
SM Ong: Welcome to the Blamed For MRT,2017-10,-100.0,2017,10
SMRT,2017-10,-20.0,2017,10
Valentino,2017-10,-100.0,2017,10
EWL,2017-11,100.0,2017,11
Joo,2017-11,100.0,2017,11
Khaw Boon Wan,2017-11,-50.0,2017,11
LTA,2017-11,-100.0,2017,11
Parliament,2017-11,-100.0,2017,11
SMRT,2017-11,-50.0,2017,11
Thales,2017-11,100.0,2017,11
@QueenOfCraps,2017-12,-100.0,2017,12
Commuters,2017-12,100.0,2017,12
Lianhe Zaobao,2017-12,100.0,2017,12
SMRT,2017-12,60.0,2017,12
Seah Moon Ming,2017-12,100.0,2017,12
Shorter EWL,2017-12,100.0,2017,12
Uber,2017-12,100.0,2017,12
World Bank,2017-12,100.0,2017,12
BPLRT,2018-1,-100.0,2018,1
Bt,2018-1,-100.0,2018,1
Bukit Panjang LRT,2018-1,-100.0,2018,1
EWL,2018-1,100.0,2018,1
Johor Baru-Singapore Rapid Transit System,2018-1,100.0,2018,1
Land Transport Authority,2018-1,100.0,2018,1
Prasarana,2018-1,100.0,2018,1
Prasarana Malaysia,2018-1,100.0,2018,1
RTS,2018-1,100.0,2018,1
Rail operators,2018-1,100.0,2018,1
SINGAPORE - Rail,2018-1,100.0,2018,1
SMRT,2018-1,-25.0,2018,1
Zachary Sebastian,2018-1,-100.0,2018,1
Ang Mo Kio MRT,2018-2,-100.0,2018,2
Chief Commuter Engagement Officer,2018-2,100.0,2018,2
Elaine Koh,2018-2,100.0,2018,2
NSL,2018-2,-100.0,2018,2
SMRT,2018-2,-33.33333333333333,2018,2
Bukit Panjang Light Rail Transit,2018-3,-100.0,2018,3
Chay Yuen Fatt,2018-3,-100.0,2018,3
F1,2018-3,100.0,2018,3
Kuek,2018-3,100.0,2018,3
Lim Say Heng,2018-3,-100.0,2018,3
McLaren,2018-3,100.0,2018,3
McLaren Applied Technologies,2018-3,100.0,2018,3
McLaren Group,2018-3,100.0,2018,3
McLaren Racing,2018-3,100.0,2018,3
SMRT,2018-3,-42.857142857142854,2018,3
