name,year_month,sentiment_emb,year,month
Swiber Holdings Ltd,2017-1,-100.0,2017,1
Swissco Holdings Ltd,2017-1,-100.0,2017,1
Attorney-General,2017-2,-100.0,2017,2
High Court,2017-2,-100.0,2017,2
PMO,2017-2,-100.0,2017,2
Swiber Holdings Ltd,2017-2,-100.0,2017,2
Swissco Holdings Limited,2017-2,-100.0,2017,2
Ezion Holdings Ltd,2017-3,100.0,2017,3
Ezra,2017-3,0.0,2017,3
KrisEnergy Ltd,2017-3,100.0,2017,3
Nam Cheong Ltd,2017-3,-100.0,2017,3
Perisai Petroleum Teknologi,2017-3,100.0,2017,3
Swiber Holdings Ltd,2017-3,0.0,2017,3
Swissco Holdings,2017-3,100.0,2017,3
Swissco Holdings Ltd,2017-3,0.0,2017,3
Ezra Holdings,2017-5,100.0,2017,5
Marco Polo Maritime,2017-5,100.0,2017,5
Rickmers Maritime,2017-5,100.0,2017,5
Swiber Holdings,2017-5,100.0,2017,5
Swissco Holdings,2017-5,100.0,2017,5
Swissco Holdings,2017-7,100.0,2017,7
Swissco Venus,2017-7,100.0,2017,7
Scott,2017-8,-100.0,2017,8
Swissco Holdings,2017-8,-100.0,2017,8
Hassan Basma,2017-10,100.0,2017,10
Offshore rig firms,2017-10,-100.0,2017,10
Swissco Holdings,2017-10,100.0,2017,10
Asia Strategic Turnaround Ventures,2018-2,100.0,2018,2
HBA Offshore,2018-2,100.0,2018,2
Swissco Holdings,2018-2,100.0,2018,2
